预测日期,报告期,交易代码,预测净利润,预测机构,分析师姓名
20121128,20121231,000882,54000000.0,国信证券,孙菲菲
20121210,20121231,000886,97000000.0,东北证券,高建
20121213,20121231,000886,202000000.0,长城证券,苏绪盛
20121116,20121231,000887,532000000.0,群益证券,韩伟琪
20121110,20121231,000888,173000000.0,国金证券,毛峥嵘
20121120,20121231,000888,173000000.0,国金证券,苏超
20121128,20121231,000888,178000000.0,中银国际,冯雪
20121116,20121231,000895,3001000000.0,中金公司,乔洋
20121116,20121231,000898,-3078200000.0,长江证券,刘元瑞
20121119,20121231,000898,-3078200000.0,长江证券,刘元瑞
20121121,20121231,000898,-3198000000.0,招商证券,张士宝
20121121,20121231,000898,-2946000000.0,华泰证券,赵湘鄂
20121121,20121231,000898,-3078200000.0,长江证券,刘元瑞
20121126,20121231,000898,-3209000000.0,招商证券,张士宝
20121210,20121231,000898,-3209000000.0,招商证券,张士宝
20121220,20121231,000898,-3361800000.0,长江证券,刘元瑞
20121221,20121231,000898,-3891000000.0,国泰君安,李宏亮
20121227,20121231,000906,10000000.0,国泰君安,李宏亮
20121127,20121231,000915,115000000.0,东方证券,田加强
20121213,20121231,000917,516000000.0,国金证券,程兵
20121107,20121231,000918,347000000.0,国元证券,沈亮亮
20121221,20121231,000921,670000000.0,银河证券,袁浩然
20121223,20121231,000921,676000000.0,中投证券,张镭
20121224,20121231,000921,680000000.0,国金证券,王晓莹
20121224,20121231,000921,767000000.0,西南证券,李辉
20121114,20121231,000926,658800000.0,国泰君安,李品科
20121116,20121231,000926,600480000.0,爱建证券,左红英
20121124,20121231,000926,643300000.0,长江证券,刘俊
20121210,20121231,000926,662000000.0,招商证券,贾祖国
20121228,20121231,000926,651100000.0,长江证券,刘俊
20121212,20121231,000933,448000000.0,海通证券,朱洪波
20121204,20121231,000937,2178700000.0,北京高华证券,韩永
20121227,20121231,000937,2238000000.0,申银万国,刘晓宁
20121227,20121231,000937,2170000000.0,齐鲁证券,刘昭亮
20121116,20121231,000939,162510000.0,光大证券,陈俊鹏
20121127,20121231,000949,-80160000.0,民族证券,齐求实
20121130,20121231,000949,-115650000.0,日信证券,赵越
20121129,20121231,000951,19000000.0,中金公司,郑栋
20121205,20121231,000951,38000000.0,中银国际,胡文洲
20121228,20121231,000959,14182700.0,第一创业,张文丰
20121102,20121231,000960,231000000.0,华泰证券,刘敏达
20121203,20121231,000960,180000000.0,招商证券,王晓丹
20121108,20121231,000961,1291600000.0,安信证券,徐胜利
20121207,20121231,000961,1259000000.0,华泰证券,周雅婷
20121213,20121231,000961,1216000000.0,中银国际,田世欣
20121220,20121231,000961,1213000000.0,中金公司,宁静鞭
20121122,20121231,000963,508000000.0,东方证券,李淑花
20121215,20121231,000963,505000000.0,兴业证券,项军
20121112,20121231,000970,670000000.0,民生证券,黄玉
20121126,20121231,000970,773220000.0,爱建证券,张志鹏
20121204,20121231,000970,693000000.0,申银万国,周小波
20121219,20121231,000970,703000000.0,国泰君安,魏兴耘
20121210,20121231,000973,79000000.0,日信证券,赵越
20121216,20121231,000975,311000000.0,广发证券,巨国贤
20121101,20121231,000978,59590000.0,中信建投,沈周翔
20121116,20121231,000982,304000000.0,日信证券,王兵
20121125,20121231,000982,219500000.0,渤海证券,初文
20121210,20121231,000982,308000000.0,申银万国,郭鹏
20121221,20121231,000982,292900000.0,渤海证券,初文
20121107,20121231,000983,2069000000.0,东方证券,吴杰
20121113,20121231,000983,2348000000.0,瑞银证券,密叶舟
20121206,20121231,000987,364110000.0,渤海证券,闫亚磊
20121210,20121231,000987,397000000.0,国海证券,刘金沪
20121109,20121231,000989,166000000.0,中投证券,余方升
20121102,20121231,000998,272000000.0,瑞银证券,王鹏
20121212,20121231,000998,268000000.0,中信证券,施亮
20121212,20121231,000999,1040000000.0,广发证券,贺菊颖
20121212,20121231,000999,989000000.0,东方证券,庄琰
20121213,20121231,000999,997000000.0,中航证券,张绍坤
20121214,20121231,000999,983000000.0,华泰证券,彭海柱
