交易代码,实际净利润公告日期,实际净利润报告期,报表类型,净利润,平均预测净利润
2310,2018-04-20,20171231,合并报表,2177921682.27,2145860000.0
2311,2018-04-20,20171231,合并报表,1207225209.35,1201328750.0
2314,2018-03-31,20171231,合并报表,641856969.77,586760000.0
2327,2018-04-20,20171231,合并报表,493467007.49,469876666.6666667
2332,2018-04-26,20171231,合并报表,206630126.59,196333333.33333334
2340,2018-04-27,20171231,合并报表,610339253.39,576000000.0
2352,2018-03-14,20171231,合并报表,4770689703.15,4430062500.0
2354,2018-04-10,20171231,合并报表,1019676231.19,1019000000.0
2366,2018-04-28,20171231,合并报表,1013979666.13,1001825000.0
2380,2018-04-25,20171231,合并报表,109223296.76,108000000.0
2390,2018-04-21,20171231,合并报表,319383501.24,314930000.0
2403,2018-04-25,20171231,合并报表,172738929.05,161960000.0
2405,2018-04-26,20171231,合并报表,265199610.3,257627500.0
2419,2018-03-15,20171231,合并报表,718192605.94,667420000.0
2429,2018-03-30,20171231,合并报表,602927515.56,574100000.0
2430,2018-03-31,20171231,合并报表,360703991.38,316065000.0
2431,2018-04-20,20171231,合并报表,304273550.42,303833333.3333333
2439,2018-03-28,20171231,合并报表,451891976.71,451083333.3333333
2440,2018-04-26,20171231,合并报表,934850930.38,901000000.0
2454,2018-04-24,20171231,合并报表,366103910.77,309000000.0
2460,2018-04-02,20171231,合并报表,1469078129.3,1462095000.0
2482,2018-03-30,20171231,合并报表,646707712.19,560940000.0
2485,2018-04-27,20171231,合并报表,36645400.48,5000000.0
2491,2018-04-26,20171231,合并报表,595035280.79,561565000.0
2507,2018-03-17,20171231,合并报表,414142244.09,394615000.0
2516,2018-04-18,20171231,合并报表,384749036.18,374650000.0
2518,2018-04-04,20171231,合并报表,371439401.32,370000000.0
2534,2018-03-27,20171231,合并报表,417332805.96,409000000.0
2536,2018-03-28,20171231,合并报表,241552073.66,222420000.0
2584,2018-03-23,20171231,合并报表,89845691.13,72000000.0
2597,2018-02-28,20171231,合并报表,1022268509.41,928225555.5555556
2600,2018-04-28,20171231,合并报表,1404769457.98,297000000.0
2601,2018-04-03,20171231,合并报表,2502413958.33,2499500000.0
2614,2018-04-26,20171231,合并报表,345180248.17,338013333.3333333
2624,2018-03-30,20171231,合并报表,1504708688.78,1494272000.0
2626,2018-04-10,20171231,合并报表,474050601.23,446457500.0
2645,2018-04-25,20171231,合并报表,123897941.52,120333333.33333333
2677,2018-03-01,20171231,合并报表,305192052.27,304445000.0
2712,2018-04-25,20171231,合并报表,231088681.77,227000000.0
2717,2018-03-20,20171231,合并报表,509281995.34,497500000.0
2727,2018-04-25,20171231,合并报表,422714107.41,399000000.0
2737,2018-03-16,20171231,合并报表,423996618.38,388700000.0
2742,2018-03-31,20171231,合并报表,180330725.9,173000000.0
2753,2018-04-25,20171231,合并报表,237002014.41,209220000.0
2762,2018-03-31,20171231,合并报表,91567143.91,84370000.0
2773,2018-04-25,20171231,合并报表,644199027.01,639250000.0
2783,2018-03-16,20171231,合并报表,115013172.79,114000000.0
2821,2018-03-30,20171231,合并报表,341287654.12,325000000.0
2832,2018-04-23,20171231,合并报表,180223954.57,163000000.0
2838,2018-03-27,20171231,合并报表,93797768.07,89180000.0
2867,2018-04-17,20171231,合并报表,592074754.22,546140000.0
2916,2018-03-13,20171231,合并报表,448082267.22,428000000.0
2920,2018-04-04,20171231,合并报表,616444982.8,613133333.3333334
300054,2018-04-23,20171231,合并报表,336341060.25,335265000.0
300073,2018-04-03,20171231,合并报表,250174315.3,221000000.0
300099,2018-04-24,20171231,合并报表,101644074.39,78000000.0
300122,2018-03-20,20171231,合并报表,432275400.68,420313333.3333333
300137,2018-04-24,20171231,合并报表,188169290.74,145000000.0
300146,2018-02-28,20171231,合并报表,766255562.79,737000000.0
300170,2018-04-20,20171231,合并报表,323750932.99,300361666.6666667
300177,2018-04-25,20171231,合并报表,67012070.68,60730000.0
300178,2018-03-20,20171231,合并报表,283731341.1,272040000.0
300188,2018-03-23,20171231,合并报表,271716271.45,251236666.66666666
300201,2018-04-25,20171231,合并报表,160417068.91,118895000.0
300221,2018-04-24,20171231,合并报表,218558175.14,204000000.0
300241,2018-04-10,20171231,合并报表,134186399.83,116540000.0
300249,2018-04-24,20171231,合并报表,90947204.42,80200000.0
300259,2018-03-31,20171231,合并报表,160957678.61,157436000.0
300274,2018-04-24,20171231,合并报表,1024196698.41,961123333.3333334
300294,2018-04-26,20171231,合并报表,356588468.22,349000000.0
300298,2018-04-25,20171231,合并报表,257971916.0,225000000.0
300347,2018-04-20,20171231,合并报表,301013932.8,296212222.2222222
300375,2018-03-31,20171231,合并报表,119254712.86,112960000.0
300376,2018-03-15,20171231,合并报表,714068814.56,680000000.0
300388,2018-04-20,20171231,合并报表,194174855.39,178750000.0
300400,2018-04-03,20171231,合并报表,80336800.16,70020000.0
300415,2018-04-20,20171231,合并报表,275488271.97,263500000.0
300430,2018-04-03,20171231,合并报表,89601428.1,81000000.0
300437,2018-03-31,20171231,合并报表,113258926.27,99000000.0
300452,2018-04-25,20171231,合并报表,50335766.64,48185000.0
300459,2018-03-07,20171231,合并报表,393933532.11,365805000.0
300482,2018-04-28,20171231,合并报表,210695013.23,210085000.0
300498,2018-04-10,20171231,合并报表,6751119026.04,6322773750.0
300554,2018-04-17,20171231,合并报表,86126688.86,66000000.0
300567,2018-03-29,20171231,合并报表,166847356.6,163658000.0
300571,2018-04-23,20171231,合并报表,97912069.2,84290000.0
300575,2018-03-30,20171231,合并报表,117325262.97,100000000.0
300577,2018-04-13,20171231,合并报表,133407553.08,126260000.0
300592,2018-04-17,20171231,合并报表,48734954.25,48720000.0
300595,2018-04-10,20171231,合并报表,150858703.52,147625000.0
300596,2018-03-28,20171231,合并报表,130500277.88,118540000.0
