wind代码,证券名称,董事会预案日,股东大会公告日,初始资金规模(万元),预计持股数量(万股),占总股本比例,资金来源,股票来源,持股人数,员工认购比例,高管认购比例
002228.SZ,合兴包装,2015-04-30 00:00:00,2015-05-21 00:00:00,4000.0,546.0,1.47,员工薪酬及自筹资金,竞价转让,100.0,62.38,37.62
603368.SH,柳药股份,2015-04-30 00:00:00,2015-05-22 00:00:00,7000.0,126.6281,,"员工薪酬及自筹资金,股东或实际控制人借款",认购非公开发行,98.0,96.03,3.97
300095.SZ,华伍股份,2015-05-06 00:00:00,2015-05-23 00:00:00,9551.6,1545.5648,,员工薪酬及自筹资金,认购非公开发行,269.0,76.23,23.77
002042.SZ,华孚时尚,2015-05-09 00:00:00,2015-05-26 00:00:00,2000.0,2000.0,,员工薪酬及自筹资金,竞价转让,260.0,83.0,17.0
600547.SH,山东黄金,2015-05-07 00:00:00,2015-05-26 00:00:00,17189.75,1193.7326,,员工薪酬及自筹资金,认购非公开发行,131.0,82.71,17.29
002209.SZ,达意隆,2015-05-11 00:00:00,2015-05-28 00:00:00,3890.0,251.0,1.29,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",38.0,79.43,20.57
300296.SZ,利亚德,2015-05-13 00:00:00,2015-05-29 00:00:00,6000.0,,,员工薪酬及自筹资金,竞价转让,553.0,65.08,34.92
000593.SZ,大通燃气,2015-05-13 00:00:00,2015-05-29 00:00:00,7200.0,1000.0,,员工薪酬及自筹资金,认购非公开发行,40.0,40.0,60.0
832367.OC,慧图科技,2015-05-14 00:00:00,2015-05-29 00:00:00,625.0,500.0,17.2414,员工薪酬及自筹资金,认购非公开发行,29.0,40.0,60.0
002570.SZ,贝因美,2015-05-12 00:00:00,2015-05-30 00:00:00,4000.0,524.11,0.51,员工薪酬及自筹资金,竞价转让,207.0,75.0,25.0
002583.SZ,海能达,2015-05-13 00:00:00,2015-06-01 00:00:00,7500.0,1658.37,2.38,员工薪酬及自筹资金,竞价转让,920.0,96.77,3.23
300133.SZ,华策影视,2015-05-15 00:00:00,2015-06-02 00:00:00,22700.0,,3.0,员工薪酬及自筹资金,竞价转让,450.0,94.46,5.54
