实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2012-04-20,20101231,000038,合并报表(单季度调整),14739040.76
2012-04-20,20101231,000038,母公司报表(单季度调整),-548673.42
2012-04-20,20101231,000038,合并报表(调整),26716195.17
2012-04-20,20101231,000038,母公司报表(调整),-2976235.03
2011-04-27,20101231,000038,母公司报表(单季度),-548673.42
2011-04-27,20101231,000038,合并报表(单季度),14739040.76
2011-04-27,20101231,000038,合并报表,26716195.17
2011-04-27,20101231,000038,母公司报表,-2976235.03
2012-03-23,20101231,000039,母公司报表(调整),-33497000.0
2012-03-23,20101231,000039,合并报表(调整),3001851000.0
2012-03-23,20101231,000039,母公司报表(单季度调整),-126449000.0
2012-03-23,20101231,000039,合并报表(单季度调整),676900000.0
2011-03-23,20101231,000039,合并报表,3001851000.0
2011-03-23,20101231,000039,母公司报表(单季度),-126449000.0
2011-03-23,20101231,000039,母公司报表,-33497000.0
2011-03-23,20101231,000039,合并报表(单季度),676900000.0
2011-03-19,20101231,000040,合并报表,96276320.09
2011-03-19,20101231,000040,合并报表(单季度),45932598.53
2011-03-19,20101231,000040,母公司报表(单季度),-11590966.96
2011-03-19,20101231,000040,合并报表(更正前),96586077.75
2011-03-19,20101231,000040,母公司报表,115314673.5
2012-04-07,20101231,000040,合并报表(调整),96276320.09
2012-04-07,20101231,000040,母公司报表(单季度调整),-11590966.96
2012-04-07,20101231,000040,合并报表(单季度调整),45932598.53
2012-04-07,20101231,000040,母公司报表(调整),115314673.5
2012-04-12,20101231,000042,母公司报表(调整),90042740.94
2012-04-12,20101231,000042,合并报表(调整),361933160.04
2012-04-12,20101231,000042,母公司报表(单季度调整),17760016.48
2012-04-12,20101231,000042,合并报表(单季度调整),147224851.93
2011-04-13,20101231,000042,合并报表(单季度),147224851.93
2011-04-13,20101231,000042,母公司报表(单季度),17760016.48
2011-04-13,20101231,000042,母公司报表,90042740.94
2011-04-13,20101231,000042,合并报表,361933160.04
2011-02-26,20101231,000043,合并报表,269281814.72
2011-02-26,20101231,000043,母公司报表,15481719.04
2011-02-26,20101231,000043,母公司报表(单季度),-9108102.69
2011-02-26,20101231,000043,合并报表(单季度),202138267.97
2012-03-10,20101231,000043,母公司报表(调整),15481719.04
2012-03-10,20101231,000043,合并报表(单季度调整),202138267.97
2012-03-10,20101231,000043,合并报表(调整),269281814.72
2012-03-10,20101231,000043,母公司报表(单季度调整),-9108102.69
2012-03-27,20101231,000045,母公司报表(单季度调整),4540366.38
2012-03-27,20101231,000045,合并报表(单季度调整),3832576.6
2012-03-27,20101231,000045,母公司报表(调整),22542644.29
2012-03-27,20101231,000045,合并报表(调整),40709271.22
2011-04-15,20101231,000045,母公司报表,22542644.29
2011-04-15,20101231,000045,合并报表,40709271.22
2011-04-15,20101231,000045,合并报表(单季度),3832576.6
2011-04-15,20101231,000045,母公司报表(单季度),4540366.38
2012-04-21,20101231,000046,合并报表(调整),122844260.55
2011-04-16,20101231,000046,母公司报表(单季度),-39141978.56
2011-04-16,20101231,000046,合并报表(单季度),-59149470.66
2011-04-16,20101231,000046,母公司报表,599790936.43
2012-04-21,20101231,000046,合并报表(单季度调整),-59149470.66
2012-04-21,20101231,000046,母公司报表(调整),599790936.43
2012-04-21,20101231,000046,母公司报表(单季度调整),-39141978.56
2011-04-16,20101231,000046,合并报表,122844260.55
2011-04-12,20101231,000047,合并报表(单季度),-9790516.59
2012-04-17,20101231,000047,合并报表(单季度调整),-9790516.59
2012-04-17,20101231,000047,合并报表(调整),-38624368.62
2011-04-12,20101231,000047,合并报表,-38624368.62
2011-04-26,20101231,000048,合并报表(单季度),-47944549.38
2012-04-24,20101231,000048,母公司报表(调整),-24654544.98
2011-04-26,20101231,000048,母公司报表(单季度),-10814818.64
2012-04-24,20101231,000048,合并报表(单季度调整),-47944549.38
2011-04-26,20101231,000048,合并报表,-47184512.42
2012-04-24,20101231,000048,合并报表(调整),-47184512.42
2012-04-24,20101231,000048,母公司报表(单季度调整),-10814818.64
2011-04-26,20101231,000048,母公司报表,-24654544.98
2011-04-28,20101231,000049,母公司报表(单季度),27476615.37
2011-04-28,20101231,000049,母公司报表,43850920.02
2011-04-28,20101231,000049,合并报表,71375662.41
2011-04-28,20101231,000049,合并报表(单季度),30417180.89
2012-03-28,20101231,000049,合并报表(单季度调整),30417180.89
2012-03-28,20101231,000049,母公司报表(调整),43850920.02
2012-03-28,20101231,000049,合并报表(调整),71375662.41
2012-03-28,20101231,000049,母公司报表(单季度调整),27476615.37
2012-02-28,20101231,000050,母公司报表(单季度调整),-9103555.62
2012-02-28,20101231,000050,合并报表(单季度调整),1312941.19
2012-02-28,20101231,000050,母公司报表(调整),41751330.0
2012-02-28,20101231,000050,合并报表(调整),70381821.0
2011-03-02,20101231,000050,母公司报表,41751330.0
2011-03-02,20101231,000050,合并报表,70381821.0
2011-03-02,20101231,000050,合并报表(单季度),1312941.19
2011-03-02,20101231,000050,母公司报表(单季度),-9103555.62
2011-03-04,20101231,000055,合并报表,55063374.25
2011-03-04,20101231,000055,合并报表(单季度),11624773.85
2011-03-04,20101231,000055,母公司报表(单季度),36922457.62
2011-03-04,20101231,000055,母公司报表,44747971.25
2012-04-20,20101231,000055,母公司报表(单季度调整),36922457.62
2012-04-20,20101231,000055,合并报表(调整),55063374.25
2012-04-20,20101231,000055,母公司报表(调整),44747971.25
2012-04-20,20101231,000055,合并报表(单季度调整),11624773.85
2011-04-26,20101231,000056,合并报表,-167709712.71
2011-04-26,20101231,000056,母公司报表(单季度),23971310.93
2011-04-26,20101231,000056,合并报表(单季度),-94162164.91
2011-04-26,20101231,000056,母公司报表,-97887844.84
2012-04-20,20101231,000056,母公司报表(单季度调整),20469195.7
2012-04-20,20101231,000056,合并报表(调整),-171211827.94
2012-04-20,20101231,000056,母公司报表(调整),-101389960.07
2012-04-20,20101231,000056,合并报表(单季度调整),-97664280.14
2012-03-27,20101231,000058,母公司报表(单季度调整),30043823.87
2012-03-27,20101231,000058,合并报表(单季度调整),23254084.42
2012-03-27,20101231,000058,合并报表(调整),59217701.05
2012-03-27,20101231,000058,母公司报表(调整),66745585.09
2011-03-29,20101231,000058,母公司报表,66745585.09
2011-03-29,20101231,000058,合并报表,59217701.05
2011-03-29,20101231,000058,合并报表(单季度),23254084.42
2011-03-29,20101231,000058,母公司报表(单季度),30043823.87
2011-03-22,20101231,000059,母公司报表,406837967.12
2011-03-22,20101231,000059,母公司报表(单季度),312959312.71
2011-03-22,20101231,000059,合并报表,412657232.57
2011-03-22,20101231,000059,合并报表(单季度),429903276.95
2012-03-15,20101231,000059,母公司报表(单季度调整),312959312.71
2012-03-15,20101231,000059,合并报表(调整),412657232.57
2012-03-15,20101231,000059,母公司报表(调整),406837967.12
2012-03-15,20101231,000059,合并报表(单季度调整),429903276.95
2011-03-31,20101231,000060,合并报表(单季度),306423827.15
2011-03-31,20101231,000060,母公司报表(单季度),180694050.27
2011-03-31,20101231,000060,母公司报表,452281887.52
2011-03-31,20101231,000060,合并报表,707007692.13
2012-03-30,20101231,000060,母公司报表(调整),452281887.52
2012-03-30,20101231,000060,合并报表(调整),707007692.13
2012-03-30,20101231,000060,母公司报表(单季度调整),180694050.27
2012-03-30,20101231,000060,合并报表(单季度调整),306423827.15
2011-04-29,20101231,000061,合并报表,276948019.61
2011-04-29,20101231,000061,母公司报表,221536788.74
2011-04-29,20101231,000061,母公司报表(单季度),-17122053.11
2011-04-29,20101231,000061,合并报表(单季度),-45364662.64
